logical_x	logical_y	runtime_x0	runtime_y0	runtime_x1	runtime_y1	expected_rgba	actual_origin_rgba	uniform	mismatch_pixels
15	12	120	96	127	103	#F4F2E8FF	#F4F2E8FF	true	0
16	12	128	96	135	103	#F4F2E8FF	#F4F2E8FF	true	0
17	12	136	96	143	103	#F4F2E8FF	#F4F2E8FF	true	0
18	12	144	96	151	103	#F4F2E8FF	#F4F2E8FF	true	0
19	12	152	96	159	103	#F4F2E8FF	#F4F2E8FF	true	0
20	12	160	96	167	103	#F4F2E8FF	#F4F2E8FF	true	0
21	12	168	96	175	103	#F4F2E8FF	#F4F2E8FF	true	0
22	12	176	96	183	103	#F4F2E8FF	#F4F2E8FF	true	0
23	12	184	96	191	103	#2A3340FF	#2A3340FF	true	0
0	13	0	104	7	111	#00000000	#00000000	true	0
1	13	8	104	15	111	#00000000	#00000000	true	0
2	13	16	104	23	111	#00000000	#00000000	true	0
3	13	24	104	31	111	#00000000	#00000000	true	0
4	13	32	104	39	111	#00000000	#00000000	true	0
5	13	40	104	47	111	#00000000	#00000000	true	0
6	13	48	104	55	111	#00000000	#00000000	true	0
7	13	56	104	63	111	#00000000	#00000000	true	0
8	13	64	104	71	111	#00000000	#00000000	true	0
9	13	72	104	79	111	#2A3340FF	#2A3340FF	true	0
10	13	80	104	87	111	#F4F2E8FF	#F4F2E8FF	true	0
11	13	88	104	95	111	#F4F2E8FF	#F4F2E8FF	true	0
12	13	96	104	103	111	#F4F2E8FF	#F4F2E8FF	true	0
13	13	104	104	111	111	#F4F2E8FF	#F4F2E8FF	true	0
14	13	112	104	119	111	#F4F2E8FF	#F4F2E8FF	true	0
15	13	120	104	127	111	#F4F2E8FF	#F4F2E8FF	true	0
16	13	128	104	135	111	#F4F2E8FF	#F4F2E8FF	true	0
17	13	136	104	143	111	#F4F2E8FF	#F4F2E8FF	true	0
18	13	144	104	151	111	#F4F2E8FF	#F4F2E8FF	true	0
19	13	152	104	159	111	#F4F2E8FF	#F4F2E8FF	true	0
20	13	160	104	167	111	#F4F2E8FF	#F4F2E8FF	true	0
21	13	168	104	175	111	#F4F2E8FF	#F4F2E8FF	true	0
